ACHIEVER OF THE YEAR
Joe D. Sabbadino, 1978
Mildred Ward, 1979

DRIVER EDUCATION TEACHER OF THE YEAR
Glenn Sanders, 1970
Richard E. Bernstein, 1971
Jethro R. McCain, 1972
Emmett Hutto, 1973
Dr. Albert A. Neal, 1974
Mildred Ward, 1975
Virginia Hunter, 1976
James T. McCray, 1977
James C. Saylors, Jr., 1978
Charles F. Brigman, 1979
Joe W. Grant, Jr., 1980
Joe D. Sabbadino, 1981
?                          , 1982
Emmett Hutto, 1983
?  1984-1985
Joe D. Sabbadino, 1986
Ed Moorer, 1990
Joe D. Sabbadino, 1991
? 1992-2007
Joe Watson, 2008
Fred Edwards, 2009
Chadwick Saris, 2010
Mike Blackmon, 2011
Gerald Lloyd, 2012

EMMETT HUTTO
Joe W. Grant, Jr., ?
Joe D. Sabbadino, 2007
Virginia Price, 2008
Mike Blackmon, 2009
Andrew Johnson, 2010
David Sanders, 2011
John Pappas, 2012

FRIENDS OF DRIVER & TRAFFIC SAFETY EDUCATION
Teresa Wilson, 2008 (?)
Dr. James "Skip" Strainer, 2010
Dr. Christine Beyer, 2011

LIFETIME SERVICE
Dr. Harry Stlle, 2012

OUTSTANDING LEADERSHIP IN DRIVER & TRAFFIC SAFETY
Steve Phillips, 2010
Andrew Johnson, 2011

OUTSTANDING SERVICE IN SAFETY (given by Lonnie L. Dunlap)
1979 Sam Boylston, Lieutenant Clarence I Coleman, Bernard Decker,Paul Jordan, Jethro McCain, James T. McCray, O Cliff Nix,Joe D. Sabbadino, Dudley Triplett and Mildred Ward
1980 Virginia Hunter and James C. Saylors, Jr.
1981 Charles Brigman, Lieutenant Clarence I. Coleman, Joe W. Grant, Jr.,Emmett Hutto, and Dr. Harry Stille
1983 Virginia Hunter and Mildred Ward

TRAFFIC SAFETY OFFICER
Lt. Clarence I. Coleman, 1978
Lt. George Ed. Barton, 1979
Lt. Earnest C. Rumler, 1980
Sergeant John Kirland, 1981
Lt. Clendenan, 2010

YEARS OF DEDICATION TO DRIVER EDUCATION (given by Lonnie L. Dunlap)
Dr. Albert A. Neal, 1981
Joe D. Sabbadino, 1981
